"","FIPS","state","name","population","total_liabilities","revenue","lib_rev_ratio","percapita","state_abv"
"1","0500000US01073","Alabama","Jefferson County",674721,2965742000,789214000,375.784261303018,4395.50866209885,"AL"
"2","0500000US01097","Alabama","Mobile County",414809,321176640,251349614,127.780836775027,774.275967975623,"AL"
"3","0500000US01101","Alabama","Montgomery County",228954,420896212,119358878,352.630838235594,1838.34399923129,"AL"
"4","0500000US01125","Alabama","Tuscaloosa County",227036,164964651,102394146,161.107502180838,726.601292306066,"AL"
"5","0500000US01117","Alabama","Shelby County",223024,133812337,1369662125,9.76973332017924,599.990749874453,"AL"
"6","0500000US01103","Alabama","Morgan County",123421,47922739,312086705,15.3555849166981,388.286750228891,"AL"
"7","0500000US01015","Alabama","Calhoun County",116441,32105145,270774455,11.8567850131948,275.720278939549,"AL"
"8","0500000US01083","Alabama","Limestone County",103570,45768558,41746890,109.633455330445,441.909413922951,"AL"
"9","0500000US01055","Alabama","Etowah County",103436,54675376,47501856,115.10155729494,528.591360841487,"AL"
"10","0500000US01095","Alabama","Marshall County",97612,26665997,28768562,92.6914490894609,273.183594230218,"AL"
"11","0500000US01121","Alabama","Talladega County",82149,44080242,34664270,127.163335619068,536.588905525326,"AL"
"12","0500000US01009","Alabama","Blount County",59134,14152777,28109252,50.3491768475376,239.334004126222,"AL"
"13","0500000US01001","Alabama","Autauga County",58805,15713834,19669534,79.8892032724314,267.21935209591,"AL"
"14","0500000US01021","Alabama","Chilton County",45014,19347312,24094713,80.2969182492441,429.806549073622,"AL"
"15","0500000US01123","Alabama","Tallapoosa County",41311,10630581,17774092,59.8094181126102,257.330517295636,"AL"
"16","0500000US01109","Alabama","Pike County",33009,18004534,20095816,89.5934457202435,545.443182162441,"AL"
"17","0500000US01019","Alabama","Cherokee County",24971,17202575,17060129,100.834964378054,688.902126466701,"AL"
"18","0500000US01025","Alabama","Clarke County",23087,10626495,14248037,74.5821687577032,460.280460865422,"AL"
"19","0500000US01091","Alabama","Marengo County",19323,27512039,11167240,246.363819529266,1423.79749521296,"AL"
"20","0500000US01067","Alabama","Henry County",17146,2323824,11515048,20.1807582565005,135.531552548699,"AL"
"21","0500000US01129","Alabama","Washington County",15388,14094423,14229284,99.0522291915742,915.935989082402,"AL"
"22","0500000US01029","Alabama","Cleburne County",15056,1528791,46587990,3.28151311099706,101.540316153029,"AL"
"23","0500000US01041","Alabama","Crenshaw County",13194,9591180,9106805,105.31882476895,726.93497044111,"AL"
"24","0500000US01037","Alabama","Coosa County",10387,2696794,8630492,31.247279992844,259.631654953307,"AL"
"25","0500000US02170","Alaska","Matanuska-Susitna Borough",107081,431820343,220980782,195.410813144828,4032.65138539984,"AK"
"26","0500000US02090","Alaska","Fairbanks North Star Borough",95655,201261253,183959832,109.404999347901,2104.0327531232,"AK"
"27","0500000US02122","Alaska","Kenai Peninsula Borough",58799,99205015,128715215,77.0732620848281,1687.18881273491,"AK"
"28","0500000US02130","Alaska","Ketchikan Gateway Borough",13948,54975710,47311042,116.200590128622,3941.47619730427,"AK"
"29","0500000US02150","Alaska","Kodiak Island Borough",13101,129826243,38337735,338.638271144605,9909.64376765133,"AK"
"30","0500000US02185","Alaska","North Slope Borough",11031,439708558,537070747,81.87162686781,39861.1692502946,"AK"
"31","0500000US02188","Alaska","Northwest Arctic Borough",7793,37772912,42226967,89.4521077016969,4847.03092518927,"AK"
"32","0500000US02013","Alaska","Aleutians East Borough",3420,27998439,9960780,281.086812478541,8186.67807017544,"AK"
"33","0500000US02195","Alaska","Petersburg Borough",3398,24654022,25546538,96.5063133016301,7255.4508534432,"AK"
"34","0500000US02100","Alaska","Haines Borough",2080,18592952,15230054,122.080670232686,8938.91923076923,"AK"
"35","0500000US02060","Alaska","Bristol Bay Borough",844,11962807,24368919,49.0904294934051,14173.941943128,"AK"
"36","0500000US04013","Arizona","Maricopa County",4420568,2834203888,2499817863,113.376415536079,641.140208226635,"AZ"
"37","0500000US04019","Arizona","Pima County",1043433,1970239000,1188854000,165.725900741386,1888.22761020593,"AZ"
