state,county,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,student
TN,Hamblen County,2020,General Purpose,48566893,22891137,12244780,0,12988769,0,0,1221689,442203,0,0,5462878,3288814,509048,24009119,-5117195,38387054,0,0,0,33269859,10511
TX,Randall County,2020,General Purpose,57373308,43136020,4974144,250098,0,0,4736828,0,2388547,0,1887671,15717845,3267010,1299662,48819236,7087785,62015968,0,0,0,69103753,10381
VA,Augusta County,2020,General Purpose,109688579,74620660,12794422,1375872,0,0,11033402,0,7596861,0,2267362,7927419,22870708,1635216,96699561,445503,128687401,0,0,0,129132904,10339
TX,Val Verde County,2020,General Purpose,46928684,20266082,16352028,0,0,2770000,2642564,0,4142547,0,593663,6800227,9145868,0,16929956,5019890,27856161,0,0,0,32876051,10331
CA,San Luis Obispo County,2020,General Purpose,1290311000,367642000,90338000,0,0,82823000,625259000,0,28036000,0,36032000,110475000,266285000,23007000,253744000,-12974000,666485000,0,0,0,653511000,10265
TN,Bradley County,2020,General Purpose,79484248,22430623,2124061,14997802,32800380,0,0,4543916,5121277,0,2010105,14260759,7515084,278713,45188444,6293168,60949832,0,0,0,67243000,10263
NV,Elko County,2020,General Purpose,60439253,1476312,6174528,0,188347,0,43667486,0,6913581,0,1440307,9659073,3038294,929544,53619023,4249591,62996343,0,0,0,67245934,10247
GA,Spalding County,2020,General Purpose,44546884,9092559,1932063,5612143,0,0,18309390,0,2193549,0,1425146,11856043,2933777,345137,50117215,-8380305,73632477,0,0,0,65252172,10207
MN,Stearns County,2020,General Purpose,88514377,11683529,11076470,0,0,0,50627927,0,5373188,0,9753263,10681633,66602645,8144942,104856444,34955248,155330416,0,0,0,190285664,10171
NY,Oneida County,2020,General Purpose,822010453,499559822,99851668,18864914,0,0,79645465,0,97865008,0,4212009,82352446,114562332,28182713,221880045,-17874859,464852395,0,0,0,446977536,10108
GA,Liberty County,2020,General Purpose,84793468,24285733,3052795,643784,0,0,20796711,0,33820936,0,1542329,12447932,4060273,750568,37541566,302281,54498058,0,0,0,54800339,10092
WI,Sheboygan County,2020,General Purpose,51552755,5014071,11675587,0,0,24730000,0,9309530,3433433,0,6699666,21199186,38936103,2064756,68740954,10990310,119950689,0,0,0,130940999,10058
