state.abb,county,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,id,state.name,population
CA,Los Angeles County,2020,General Purpose,52768946000,2737062000,5617736000,148918000,0,384066000,11560668000,0,25921499000,0,2072486000,8065147000,12174881000,60658000,9153396000,1055567000,28398515000,1281573000,1285000,19356000,29454082000,0500000US06037,California,10014009
IL,Cook County,2020,General Purpose,21176754633,2823221430,708751691,0,570036750,7521000,13580982590,0,1900989370,0,122331764,3118370000,738219342,138850239,2065761372,405671632,5655529321,2862471563,257597178,44788567,6061200953,0500000US17031,Illinois,5275541
TX,Harris County,2020,General Purpose,8947139580,4440922478,660408855,0,33287159,554942000,470596852,134778,2733774269,0,48806862,1153495162,278082673,401554423,2304193903,537805272,3599520889,0,0,0,4137326161,0500000US48201,Texas,4731145
AZ,Maricopa County,2020,General Purpose,2834203888,0,553067960,20783850,31410428,0,1876917812,0,3209316,16637315,0,294561793,392453978,41902995,1770899097,273182882,2226634981,0,0,0,2499817863,0500000US04013,Arizona,4420568
CA,San Diego County,2020,General Purpose,6570540000,1018893000,945099000,39300000,3201000,0,3790434000,0,106033000,0,128010000,646844000,3066604000,29828000,1562782000,129064000,5176994000,0,0,0,5306058000,0500000US06073,California,3298634
CA,Orange County,2020,General Purpose,7044193000,620161000,890891000,31702000,387644000,34661000,4125372000,0,328412000,0,184050000,920286000,2505653000,141118000,1234935000,317280000,4484712000,120977000,25629000,0,4801992000,0500000US06059,California,3186989
FL,Miami-Dade County,2020,General Purpose,27654208000,17236196000,1937708000,431062000,599543000,391345000,4414212000,0,692290000,0,823163000,4294642000,1324932000,445910000,3388422000,-605491000,10059397000,0,0,0,9453906000,0500000US12086,Florida,2701767
TX,Dallas County,2020,General Purpose,942867000,148618000,285802000,78424000,0,0,156475000,0,228011000,0,40641000,158892000,271858000,0,631682000,43764000,1018668000,0,0,0,1062432000,0500000US48113,Texas,2613539
CA,Riverside County,2020,General Purpose,8461146000,2205402000,1486004000,371389000,0,84342000,3517404000,0,60350000,143000,279952000,1663165000,2291206000,32808000,1103865000,-854891000,5945935000,631853000,553000,355000,5091044000,0500000US06065,California,2418185
NV,Clark County,2020,General Purpose,11263235204,5995657382,925452056,2385548,0,5400000,2971365931,0,683532382,0,303849498,1939388464,495664818,324744954,2386433924,375693990,4770538170,0,0,0,5146232160,0500000US32003,Nevada,2265461
CA,San Bernardino County,2020,General Purpose,4697075000,418164000,855666000,2646000,0,29126000,2236518000,0,8506000,0,244389000,1036006000,2633539000,25018000,1317168000,383389000,4628342000,0,0,0,5011731000,0500000US06071,California,2181654
TX,Tarrant County,2020,General Purpose,908700000,250717000,186900000,71000,0,0,227323000,0,184230000,0,50367000,145642000,188415000,711000,481689000,99076000,717381000,3249000,28000,0,816457000,0500000US48439,Texas,2110640
TX,Bexar County,2020,General Purpose,3027051150,1673669329,121104482,0,0,0,117083764,0,216578397,0,50666275,89067688,102280291,94758101,583862696,-4727944,874696720,0,0,0,869968776,0500000US48029,Texas,2009324
FL,Broward County,2020,General Purpose,7728588000,4337017000,587100000,5348000,346895000,0,1835950000,0,315136000,0,140153000,1227079000,464132000,157655000,1811426000,619609000,3040683000,0,0,0,3660292000,0500000US12011,Florida,1944375
CA,Santa Clara County,2020,General Purpose,10454942000,2620844000,1698043000,0,0,0,4369993000,1030950000,1193745000,4066000,336638000,2903732000,2145002000,12885000,1990509000,188339000,6863789000,0,0,0,7052128000,0500000US06085,California,1936259
MI,Wayne County,2020,General Purpose,1812948420,628294866,331168554,0,0,184930000,547323476,0,91675340,0,22332762,198890166,419509926,26214724,440122978,308655710,776082084,0,0,0,1084737794,0500000US26163,Michigan,1793561
CA,Alameda County,2020,General Purpose,4327169000,1310807000,748101000,1466000,24201000,0,1785396000,0,173413000,0,84391000,654830000,1869783000,8170000,937270000,218092000,3251961000,0,0,0,3470053000,0500000US06001,California,1682353
CA,Sacramento County,2020,General Purpose,67797303,0,7840107,0,0,0,56085569,0,1320422,0,2551205,0,109425803,0,43278,-6424568,115893649,0,0,0,109469081,0500000US06067,California,1585055
NY,Suffolk County,2020,General Purpose,12322349989,1674099719,614044114,0,0,717506197,1104493609,0,6901030000,0,511243404,370958588,836537895,62736643,2319472582,10691055,3579014653,0,0,0,3589705708,0500000US36103,New York,1525920
FL,Palm Beach County,2020,General Purpose,4197746860,863515389,398776095,223293,0,83415643,1867489307,0,447740399,0,210094621,686026585,251373232,55878784,1738472686,-37116294,2768867581,0,0,0,2731751287,0500000US12099,Florida,1492191
FL,Hillsborough County,2020,General Purpose,3229923000,1094461000,478744000,0,0,128963000,1266841000,0,116670000,0,60996000,661108000,180756000,107509000,1594531000,219427000,2324477000,283150000,20691000,47093000,2543904000,0500000US12057,Florida,1459762
FL,Orange County,2020,General Purpose,3034626323,1100980207,272763331,2068986,95610751,4275000,1287393180,0,42748723,171947,96177525,558927874,432065880,242654932,1496611587,185147739,2545112534,0,0,0,2730260273,0500000US12095,Florida,1429908
NY,Nassau County,2020,General Purpose,14455591000,3634275000,831739000,76143000,0,166425000,918259000,0,6311284000,0,465132000,346130000,554990000,175968000,2354108000,-373209000,3804405000,0,0,0,3431196000,0500000US36059,New York,1395774
TX,Travis County,2020,General Purpose,2724331272,1185905970,145211872,32779157,0,0,172394620,0,1125420726,0,42497620,107042374,57490490,26159427,799870344,52793904,937768731,0,0,0,990562635,0500000US48453,Texas,1290188
MN,Hennepin County,2020,General Purpose,3494379106,1857740095,473163198,0,0,2790460,839268166,0,145819803,0,154141727,1415149958,745244593,56341420,1149648018,-107539260,3473923249,1351533319,157249007,29870414,3366383989,0500000US27053,Minnesota,1281565
MI,Oakland County,2020,General Purpose,741376009,358527575,321853855,0,0,0,22497565,0,0,384338239,16548221,454414326,185196498,14649704,316477090,146233143,824504475,6365194,14688864,2923,970737618,0500000US26125,Michigan,1274395
UT,Salt Lake County,2020,General Purpose,958229946,504958525,163875936,4745498,0,70682811,75995899,0,95202533,0,28954974,226374240,304283063,2987822,799342870,104083513,1228904482,0,0,0,1332987995,0500000US49035,Utah,1185238
CA,Contra Costa County,2020,General Purpose,2611861000,126605000,556090000,258037000,0,1080000,677976000,0,523933000,236000,92573000,1894166000,1021424000,40990000,782125000,315039000,3423666000,0,0,0,3738705000,0500000US06013,California,1165927
VA,Fairfax County,2020,General Purpose,7213251402,3890750316,602285356,7525762,0,439073057,1838029525,0,136090113,0,153611412,917274574,346819376,43324953,4177009292,-48831469,5533259664,0,0,0,5484428195,0500000US51059,Virginia,1150309
NC,Wake County,2020,General Purpose,3533852433,2384388875,289701442,32305,0,275320595,115220710,1917781,415753783,0,16515621,115235949,130757498,0,1443608747,-22507974,1712110168,0,0,0,1689602194,0500000US37183,North Carolina,1129410
NC,Mecklenburg County,2020,General Purpose,2678783023,1500448673,237829916,3151120,207024045,0,137831581,1320744,514883109,0,36921453,171632573,160843787,866417,1536148056,5871750,1863619083,0,0,0,1869490833,0500000US37119,North Carolina,1115482
GA,Fulton County,2020,General Purpose,3257955000,1019637000,98554000,50536000,0,0,333578000,0,1675472000,0,47787000,228532000,165492000,6001000,734472000,27481000,1107016000,0,0,0,1134497000,0500000US13121,Georgia,1066710
TX,Collin County,2020,General Purpose,665516189,537131000,116609392,0,0,0,0,32523900,0,0,9374000,52572536,119249345,6652043,273398852,71754044,380118732,0,0,0,451872776,0500000US48085,Texas,1064465
MD,Montgomery County,2020,General Purpose,6415638072,3588542269,808532471,2820000,0,604379284,106518934,0,825636740,0,92651456,739082234,259057362,71022023,4013545791,241377004,4841330406,0,0,0,5082707410,0500000US24031,Maryland,1062061
AZ,Pima County,2020,General Purpose,1970239000,722521000,171786000,0,0,2869000,776192000,0,4058000,4588000,40446000,263938000,175720000,48608000,700588000,108999000,1079855000,0,0,0,1188854000,0500000US04019,Arizona,1043433
CA,Fresno County,2020,General Purpose,2161228000,356601000,257422000,2805000,278550000,0,1054510000,0,0,0,53630000,122215000,961220000,0,673796000,69499000,1687732000,0,0,0,1757231000,0500000US06019,California,1008654
IN,Marion County,2020,General Purpose,873586220,0,23965076,705790781,0,1973352,114023647,0,15112759,0,9518978,58636318,47732009,0,242586009,2852747,346101589,0,0,0,348954336,0500000US18097,Indiana,977203
MD,Prince George's County,2020,General Purpose,7876190727,2603075752,553578380,98477445,0,310379185,1828515183,0,2063326398,0,87011437,367350367,141197692,10335801,1978333298,-235744323,2732961481,0,0,0,2497217158,0500000US24033,Maryland,967201
FL,Pinellas County,2020,General Purpose,1957358812,51969653,271625819,615497,0,76992808,710305897,0,697335520,0,70969447,563389178,189943524,37814016,767359074,116744750,1441761042,0,0,0,1558505792,0500000US12103,Florida,959107
GA,Gwinnett County,2020,General Purpose,1455596,701609,201771,150123,0,31352,213317,0,39204,0,37518,512892,186765,131845,865861,371828,1325535,0,0,0,1697363,0500000US13135,Georgia,957062
NJ,Bergen County,2020,General Purpose,1293974943,690771000,0,0,926715,0,458269025,0,1209601242,0,25906823,0,0,0,813424414,38464003,774960411,0,0,0,813424414,0500000US34003,New Jersey,955732
NY,Erie County,2020,General Purpose,3025657000,923393000,237233000,0,0,125000000,289687000,0,1345295000,0,33915000,136508000,499257000,16561000,1231517000,-86254000,1970097000,0,0,0,1883843000,0500000US36029,New York,954236
WI,Milwaukee County,2020,General Purpose,2876921000,640761000,122753000,0,0,0,594769000,0,1415115000,0,41454000,284744000,402990000,12031000,471296000,126563000,1044498000,0,0,0,1171061000,0500000US55079,Wisconsin,939489
TN,Shelby County,2020,General Purpose,1845498562,922216144,185322233,4329258,0,123200000,571656496,0,0,18933000,30558690,187907321,84996633,6099120,937532099,-93531331,1310066504,0,0,0,1216535173,0500000US47157,Tennessee,929744
WA,Pierce County,2020,General Purpose,758885000,401002000,91501000,0,60660000,0,74544000,25299000,87223000,0,29046000,234451000,296159000,48544000,359613000,80367000,858400000,0,0,0,938767000,0500000US53053,Washington,921130
CA,Kern County,2020,General Purpose,2747291000,232460000,227726000,21079000,13509000,0,1804165000,0,42679000,0,95105000,415233000,924522000,32732000,475754000,2865000,1845376000,0,0,0,1848241000,0500000US06029,California,909235
MI,Macomb County,2020,General Purpose,588170168,270690000,180814373,0,621991,0,0,84215482,110683716,0,17171117,297868605,214835524,109189878,216709710,212572108,626031609,0,0,0,838603717,0500000US26099,Michigan,881217
TX,El Paso County,2020,General Purpose,422205749,165054091,51725969,0,4041146,0,108703516,0,48906739,0,36103511,57505746,39098782,699560,285012985,-1000356,383317429,0,0,0,382317073,0500000US48141,Texas,865657
NJ,Essex County,2020,General Purpose,1244720579,624040000,0,14098,7964515,43980000,0,0,0,0,0,0,0,0,1008216197,37232544,970983653,0,0,0,1008216197,0500000US34013,New Jersey,863728
CA,Ventura County,2020,General Purpose,2147171000,28616000,476098000,328489000,11726000,180020000,677172000,0,131699000,1713000,95996000,844027000,657605000,29670000,632924000,66132000,2098094000,565376000,10342000,6687000,2164226000,0500000US06111,California,843843
OH,Hamilton County,2020,General Purpose,2670799000,1060334000,189713000,8150000,388663000,0,741809000,17322000,218552000,0,62610000,455413000,309024000,5029000,675543000,14989000,1430020000,0,0,0,1445009000,0500000US39061,Ohio,830639
TX,Fort Bend County,2020,General Purpose,1449434641,620942114,155833372,439067,0,2259978,47941506,0,597396893,0,16744995,57318426,96213885,258608324,347722213,155803954,604058894,0,0,0,759862848,0500000US48157,Texas,822779
OR,Multnomah County,2020,General Purpose,1265422000,344351000,170272000,1329000,3125000,0,581413000,0,121091000,0,32855000,299879000,434998000,27782000,610417000,15237000,1357839000,1036000,29000,0,1373076000,0500000US41051,Oregon,815428
CA,San Joaquin County,2020,General Purpose,2227446646,7897000,257288477,14824000,0,1276000,1584683469,0,129969434,0,42274000,581697872,770401571,27607558,379521542,75020848,1684207695,0,0,0,1759228543,0500000US06077,California,779233
GA,Cobb County,2020,General Purpose,1816539766,539334939,201495859,3757585,0,167017301,667140390,0,178505026,0,36493230,353971738,97906748,87009233,685250753,140615534,1083522938,0,0,0,1224138472,0500000US13067,Georgia,766149
CA,San Mateo County,2020,General Purpose,1979736000,0,577795000,570202000,0,2207000,582014000,0,93292000,0,88988000,670556000,588692000,4585000,938071000,276434000,1925470000,0,0,0,2201904000,0500000US06081,California,764442
FL,Lee County,2020,General Purpose,2530890000,736809000,204592000,12492000,11000000,94026000,585079000,0,807852000,0,33546000,483973000,154535000,66230000,594285000,17236000,1281787000,0,0,0,1299023000,0500000US12071,Florida,760822
CO,El Paso County,2020,General Purpose,802181693,0,36876174,2986553,0,0,485244387,0,138991599,0,18442054,42054543,222571602,62341385,216814711,14710704,529071537,0,0,0,543782241,0500000US08041,Colorado,730395
FL,Polk County,2020,General Purpose,1366570778,240683017,167107092,0,0,82482000,519641860,0,198094593,0,19968755,316787091,104462284,32880703,518042395,19269411,952903062,0,0,0,972172473,0500000US12105,Florida,725046
NJ,Hudson County,2020,General Purpose,1109464808,459672000,0,0,2143174,0,452267834,0,471436462,0,32690799,0,0,0,774659279,39416048,735243231,0,0,0,774659279,0500000US34017,New Jersey,724854
MO,Jackson County,2020,General Purpose,544917604,401917962,71189070,810791,0,0,46067941,0,5636802,0,8465885,50984346,117044306,15055237,196820068,22817836,357086121,0,0,0,379903957,0500000US29095,Missouri,717204
IL,Lake County,2020,General Purpose,412208585,219659176,89750647,0,0,0,47434620,0,18804476,0,21525954,84345708,188738215,29686815,259190518,61721624,500239632,0,0,0,561961256,0500000US17097,Illinois,714342
NM,Bernalillo County,2020,General Purpose,802443844,253320992,87476753,0,0,0,325383442,0,96053173,0,40209486,28485850,42228681,9348178,412729190,46528057,446263842,0,0,0,492791899,0500000US35001,New Mexico,676444
AL,Jefferson County,2020,General Purpose,2965742000,0,191938000,8537000,0,2518608000,0,142088000,119964000,0,22339000,260979000,96682000,21483000,410070000,-14643000,803857000,0,0,0,789214000,0500000US01073,Alabama,674721
OK,Tulsa County,2020,General Purpose,248720189,103982424,16143588,1688807,0,585471,101018575,0,3994591,0,6144609,40562367,141319871,4684010,142961068,112962253,216565063,0,0,0,329527316,0500000US40143,Oklahoma,669279
UT,Utah County,2020,General Purpose,328192274,227586021,59635967,0,0,0,24085947,0,8261379,0,6177350,80179196,0,0,252680367,261065091,71794472,0,0,0,332859563,0500000US49049,Utah,659399
MI,Kent County,2020,General Purpose,258942401,118742822,52041949,0,0,20300000,0,56763648,20274392,0,10260598,103959597,175675243,6262714,176806178,59811250,402892482,3271536,204298,0,462703732,0500000US26081,Michigan,657974
CO,Arapahoe County,2020,General Purpose,435652646,129941621,52349020,11647046,0,2664894,208374554,0,0,0,18289696,69567963,209406835,4503917,226278746,8840352,500917109,11067596,6965508,0,509757461,0500000US08005,Colorado,655070
NJ,Monmouth County,2020,General Purpose,2519448708,390810000,0,0,0,19500000,435741708,0,473743040,0,0,0,0,0,670942714,33082248,637860466,0,0,0,670942714,0500000US34025,New Jersey,643615
NJ,Ocean County,2020,General Purpose,981487997,455251000,0,0,1824093,0,320908683,0,0,0,0,0,0,0,607245768,31447626,575798142,0,0,0,607245768,0500000US34029,New Jersey,637229
TX,Montgomery County,2020,General Purpose,1112577123,648766931,150264813,10674041,0,0,24066035,0,253594793,0,15389794,143370975,81513686,65784276,265488545,12055257,544102225,0,0,0,556157482,0500000US48339,Texas,620443
KS,Johnson County,2020,General Purpose,1383005817,967409999,84745526,1975644,14781417,0,251000703,0,23868678,0,23438999,265893122,164557904,6418693,391415902,84216440,744069181,0,0,0,828285621,0500000US20091,Kansas,609863
TX,Williamson County,2020,General Purpose,1352794743,1139091150,92763816,0,0,0,55619549,0,59226881,0,6093347,53133045,64303593,49873724,339921021,117889430,389341953,0,0,0,507231383,0500000US48491,Texas,609017
FL,Brevard County,2020,General Purpose,920994570,204664734,114651332,1880957,49105318,0,414905456,0,27264556,0,33194145,240122425,107508896,23519458,393530129,78652267,686028641,0,2320173,894278,764680908,0500000US12009,Florida,606612
OR,Washington County,2020,General Purpose,741441000,70630000,192488000,0,141710000,5162000,278895000,0,6484000,2660000,12489000,111253000,205850000,16564000,270749000,-3555000,607971000,0,0,0,604416000,0500000US41067,Oregon,600372
MD,Anne Arundel County,2020,General Purpose,4134565173,2474047271,229998820,20245,2362394,0,647187251,0,562453474,0,33872059,318411787,123052168,157135998,1605100751,45981586,2157719118,0,0,0,2203700704,0500000US24003,Maryland,588261
NE,Douglas County,2020,General Purpose,487154430,71179614,166713502,0,0,0,180046767,0,47804755,0,13580702,105448620,81550951,10337445,186144569,59093202,324388383,0,0,0,383481585,0500000US31055,Nebraska,584526
CO,Jefferson County,2020,General Purpose,131834800,19169482,31926606,3236541,1839231,0,0,0,0,0,24568367,50010865,169323635,2488613,298411949,66208342,454026720,0,0,0,520235062,0500000US08059,Colorado,582910
DE,New Castle County,2020,General Purpose,1257525117,532137007,354206169,13274778,19164277,0,213194225,0,79725591,0,30263352,118290644,63903761,3632075,187356210,40356346,332826344,0,0,0,373182690,0500000US10003,Delaware,570719
FL,Pasco County,2020,General Purpose,1294675425,428657336,113046133,0,0,14716000,516207619,0,71285733,0,30430929,375526426,160915454,23821401,432123718,190718018,801668981,0,0,0,992386999,0500000US12101,Florida,561891
WI,Dane County,2020,General Purpose,748979851,432874789,102379941,0,0,0,0,23771724,110903425,0,90676726,110858642,161394229,28646713,358579833,3124398,656355019,0,0,0,659479417,0500000US55025,Wisconsin,561504
FL,Volusia County,2020,General Purpose,695356883,67884925,107415938,0,0,39223018,348407115,3827549,42048773,0,33000973,139658715,126319798,57305779,375418268,98104788,600597772,20670699,568900,0,698702560,0500000US12127,Florida,553543
PA,Lancaster County,2020,General Purpose,369119890,167731121,37517998,14284206,900000,21036600,4582966,0,110146185,0,7133809,30708566,174492246,0,124205198,29964436,299441574,0,0,0,329406010,0500000US42071,Pennsylvania,552984
CA,Stanislaus County,2020,General Purpose,1042882524,0,199733235,4679808,58302925,72788611,586184537,0,30436216,0,38987565,222535746,837084182,18309513,227813737,-18994995,1324738173,0,0,0,1305743178,0500000US06099,California,552878
MN,Ramsey County,2020,General Purpose,699894491,209983487,70172127,0,0,3227000,228158123,0,133510679,0,45346319,297927629,351327776,0,438181739,146445415,940991729,0,0,0,1087437144,0500000US27123,Minnesota,552352
NC,Guilford County,2020,General Purpose,1222139137,710607639,107168872,0,0,0,57377689,813392,337432974,0,9551963,47968969,88160673,547307,515381488,33302508,618755929,0,0,0,652058437,0500000US37081,North Carolina,541299
OH,Summit County,2020,General Purpose,535726723,62897497,40371864,871519,31154723,0,217580458,0,149155201,102498,28743976,118268727,242764215,7333912,253146240,46388425,575124669,45993490,941019,3355053,621513094,0500000US39153,Ohio,540428
WA,Spokane County,2020,General Purpose,447342000,206591000,92018000,4669000,6890000,0,34115000,17006000,40495000,0,0,175855000,125534000,21491000,203983000,73121000,453742000,35897000,4968000,6876000,526863000,0500000US53063,Washington,539339
OH,Montgomery County,2020,General Purpose,707900209,9722733,54779689,56667975,2715165,0,275674018,3069266,192563183,0,29766231,236852454,251124322,20289089,310255033,46064773,772456125,15826786,872431,0,818520898,0500000US39113,Ohio,537309
PA,Chester County,2020,General Purpose,740035948,559704540,123245858,3896150,0,8890000,17207877,0,10387000,0,11794285,64066306,262167985,3475251,189743690,8148636,511304596,24120391,3229991,0,519453232,0500000US42029,Pennsylvania,534413
SC,Greenville County,2020,General Purpose,613256501,70991684,109306463,12009757,0,87620915,232505430,0,38130664,0,10894598,78043454,32079298,19116600,184411929,-16451367,330102648,0,0,0,313651281,0500000US45045,South Carolina,525534
NJ,Passaic County,2020,General Purpose,832741739,277404000,0,78150000,48809,0,367960238,0,0,0,20534346,0,0,0,620544940,26393935,594151005,0,0,0,620544940,0500000US34031,New Jersey,524118
KS,Sedgwick County,2020,General Purpose,431165439,138365132,86992403,1504502,0,0,168762539,0,24106664,0,7350000,65386948,128383227,9123791,229542097,36984002,395452061,622719,0,0,432436063,0500000US20173,Kansas,523824
CO,Adams County,2020,General Purpose,477815377,0,31777051,0,7650606,0,232702751,0,14884025,0,21034358,49313611,228773302,9587457,315615969,43004397,560285942,0,0,0,603290339,0500000US08001,Colorado,519572
IL,Kane County,2020,General Purpose,195019766,60706016,65302961,0,0,0,20780530,0,10618922,0,6437653,29685421,57850946,11898283,193289365,42200803,250523212,0,0,0,292724015,0500000US17089,Illinois,516522
NJ,Morris County,2020,General Purpose,545046906,199180000,0,0,1192623,0,253897692,0,363441,0,0,0,0,0,413130952,29870469,383260483,0,0,0,413130952,0500000US34027,New Jersey,509285
WA,Clark County,2020,General Purpose,217443583,64728814,41922062,4296328,13541052,0,34594809,9542131,25493325,0,15874101,107729232,110457476,33381791,209908352,125012081,336464770,7482984,558520,5903328,461476851,0500000US53011,Washington,503311
ID,Ada County,2020,General Purpose,147809654,2357736,19850848,5212256,0,0,77093670,0,0,0,8414374,76057420,13886239,1224823,195475920,15834343,270810059,10469193,8281302,322628,286644402,0500000US16001,Idaho,494967
IA,Polk County,2020,General Purpose,389072123,248620730,21765263,1056235,0,23131000,49746611,0,14647000,0,19007684,83970538,22171974,8304284,207649048,21382861,300712983,0,0,0,322095844,0500000US19153,Iowa,492401
CA,Sonoma County,2020,General Purpose,1092460000,376079000,107194000,3937000,85071000,256000,187359000,0,216719000,0,35987000,138541000,529243000,7500000,406145000,137213000,944216000,0,0,0,1081429000,0500000US06097,California,488863
NV,Washoe County,2020,General Purpose,917385946,128400459,55285621,5058223,0,0,413343289,0,236411294,0,31419366,123215058,74736259,28845534,391214434,9624441,608386844,457449,2985104,0,618011285,0500000US32031,Nevada,486492
VA,Prince William County,2020,General Purpose,1787836000,1113606000,253270000,68295000,21153000,0,200496000,817000,48523000,663000,43373000,77425000,110909000,75832000,1209750000,18544000,1455372000,0,0,0,1473916000,0500000US51153,Virginia,482204
NY,Onondaga County,2020,General Purpose,1884884705,559806005,180515934,0,264122515,0,213400135,0,618643458,0,14076257,160143869,229775954,15924122,538171923,32815396,911200472,0,0,0,944015868,0500000US36067,New York,476516
CA,Tulare County,2020,General Purpose,829216000,263984000,165616000,109000,1343000,0,271696000,0,22668000,0,27088000,186460000,543028000,0,185866000,1537000,913817000,0,0,0,915354000,0500000US06107,California,473117
FL,Seminole County,2020,General Purpose,895984671,330869515,114482294,0,0,0,367319193,0,13246566,0,38704009,152191802,88106722,13347423,371142038,12058600,612729385,0,0,0,624787985,0500000US12117,Florida,470856
CA,Solano County,2020,General Purpose,818256437,20375000,95791266,0,0,3721859,557869129,0,15935270,0,35176643,82181997,398817569,867300,222576905,-31471641,735915412,0,0,0,704443771,0500000US06095,California,453491
CA,Santa Barbara County,2020,General Purpose,1318567000,12028000,130072000,1075000,0,0,788048000,0,109251000,0,40833000,307517000,385001000,81000,362239000,48743000,1006095000,0,0,0,1054838000,0500000US06083,California,448229
MN,Dakota County,2020,General Purpose,185214067,0,33017858,0,0,0,111134223,0,12108677,0,23776570,25901691,183952498,16586747,201459282,60917713,366982505,0,0,0,427900218,0500000US27037,Minnesota,439882
CA,Monterey County,2020,General Purpose,1313721737,24615807,184943107,13938911,0,22444000,693581639,0,39702617,0,58012254,482405997,472306026,74489257,289683563,70538388,1248346455,0,0,0,1318884843,0500000US06053,California,439035
FL,Sarasota County,2020,General Purpose,1317150599,428055188,92495963,0,177324489,42649000,471058541,0,9295695,3657947,32319140,293237823,81655235,157717195,417845542,146481728,803974067,118793185,5728343,34599861,950455795,0500000US12115,Florida,434006
OH,Lucas County,2020,General Purpose,661372873,105539900,51055662,282901,32343075,0,223875481,2186317,154003949,0,23765959,84588908,178437334,3786930,260082089,40622806,486272455,0,0,0,526895261,0500000US39095,Ohio,431279
AZ,Pinal County,2020,General Purpose,510538000,238574000,35431000,447000,0,0,220564000,0,625000,1913000,13248000,42694000,66876000,28496000,213430000,69253000,282243000,0,0,0,351496000,0500000US04021,Arizona,425264
OR,Clackamas County,2020,General Purpose,741784482,271223726,46501385,0,21954295,2581957,295381903,0,61377713,0,17971186,150740708,221219638,28167113,206125450,-27221384,633474293,0,0,0,606252909,0500000US41005,Oregon,421401
TX,Cameron County,2020,General Purpose,255004610,164337897,35334401,3920877,0,6150896,11947765,0,30233502,0,2977940,65701598,25328329,1879776,92567120,-7338806,192815629,0,0,0,185476823,0500000US48061,Texas,421017
VA,Loudoun County,2020,General Purpose,2693348240,1219786141,564122213,643363204,0,0,133861541,0,60669020,47209,33094376,71163012,100736618,37125894,1752115254,50163541,1910977237,0,0,0,1961140778,0500000US51107,Virginia,420959
SC,Richland County,2020,General Purpose,765382337,170077157,74362271,1254634,136370821,0,203728119,0,165057215,0,11170930,70252346,28128763,1146392,294805869,14035593,380297777,0,0,0,394333370,0500000US45079,South Carolina,416147
AL,Mobile County,2020,General Purpose,321176640,0,26154882,0,0,0,70270770,0,39484601,0,8222826,22030565,45693578,2600115,181025356,32420779,218928835,0,0,0,251349614,0500000US01097,Alabama,414809
SC,Charleston County,2020,General Purpose,1230883573,777670345,56135366,1993378,0,18830095,273199142,0,74602421,0,17131030,109863494,44043238,5416823,407430906,61097209,505657252,0,0,0,566754461,0500000US45019,South Carolina,408235
WI,Waukesha County,2020,General Purpose,125205616,0,24549916,0,0,86421784,0,20115248,0,0,6157295,52833970,70826154,6743815,134387071,17987164,246803846,0,0,0,264791010,0500000US55133,Wisconsin,406978
MI,Genesee County,2020,General Purpose,780871823,85810784,16823232,0,0,0,129451579,0,539640311,0,4928441,35683926,79165185,0,119025495,-1712532,235587138,0,0,0,233874606,0500000US26049,Michigan,406211
CA,Placer County,2020,General Purpose,1012961000,65478000,68219000,5630000,135257000,0,633985000,0,33366000,0,51149000,133296000,328096000,2905000,286363000,31116000,719544000,860000,12820000,1375000,750660000,0500000US06061,California,404739
FL,Manatee County,2020,General Purpose,1062823000,408723000,115321000,0,5661000,1308000,401051000,0,35340000,0,38907000,326196000,35442000,84581000,401547000,132603000,715163000,0,0,0,847766000,0500000US12081,Florida,399710
OH,Butler County,2020,General Purpose,359653610,44974952,27907569,0,24199737,0,128961846,1328480,89273318,0,10334899,99612086,72703782,33453831,152397499,34214909,323952289,0,0,0,358167198,0500000US39017,Ohio,390357
FL,Osceola County,2020,General Purpose,1304908000,763838,51703000,35322000,0,19655,335287000,0,37792000,0,24369000,198859000,78445000,31529000,372701000,50037000,631497000,26837000,605000,0,681534000,0500000US12097,Florida,388656
IN,Allen County,2020,General Purpose,106438654,17557329,14919691,0,0,0,32490684,0,15170826,0,4609204,26095365,46206218,1367647,150554799,28316220,195907809,0,0,0,224224029,0500000US18003,Indiana,385410
FL,Lake County,2020,General Purpose,438611170,112525801,36439075,0,0,527371,231057016,0,37048311,0,0,85486946,30656175,21516732,191492893,-3477499,332630245,0,0,0,329152746,0500000US12069,Florida,383956
OR,Lane County,2020,General Purpose,378330817,67041498,21956508,0,0,4240655,198496867,0,63424020,0,9442899,107416573,124773679,0,92657118,-14610106,339457476,22767928,1040404,0,324847370,0500000US41039,Oregon,382971
NC,Forsyth County,2020,General Purpose,740725753,570102384,24480915,0,0,0,46149867,679188,66647741,0,8439750,35048354,51111206,408031,376297233,8876072,453988752,0,0,0,462864824,0500000US37067,North Carolina,382590
FL,Marion County,2020,General Purpose,551034261,88445232,49187160,0,0,19346501,317040864,0,20909282,0,22261063,142771183,46730120,32948891,268451792,59263938,431638048,0,0,0,490901986,0500000US12083,Florida,375908
FL,Collier County,2020,General Purpose,1224899629,349409000,112748463,8063564,234714000,70000,426770034,0,37737520,0,35987175,308273540,45572402,89441371,601531676,169792728,875026261,0,0,0,1044818989,0500000US12021,Florida,375752
