"","state.abb","state.name","geo_id","government_ID","entity","total_liabilities","revenues","lia_rev_ratio"
"116","CA","California","1600000US0630000","05201901700000","Glendale",1089276000,702824000,154.99
"117","FL","Florida","1600000US1270600","10203700100000","Tallahassee",1566127000,734522000,213.22
"118","TX","Texas","1600000US4830464","44205701300000","Grand Prairie",679577059,434961284,156.24
"119","TX","Texas","1600000US4845744","44204300800000","Mckinney",591337974,423479437,139.64
"120","FL","Florida","1600000US1210275","10203680100000","Cape Coral",1418663171,429566603,330.25
"121","SD","South Dakota","1600000US4659020","42205000800000","Sioux Falls",360067765,476376996,75.58
"122","AZ","Arizona","1600000US0454050","03200700900000","Peoria",560600727,375677315,149.22
"123","RI","Rhode Island","1600000US4459000","40200400400000","Providence",3516821000,964851000,364.49
"124","WA","Washington","1600000US5374060","48200600500000","Vancouver",225176801,449870809,50.05
"125","TN","Tennessee","1600000US4740000","43204700100000","Knoxville",433508599,323159708,134.15
"126","OH","Ohio","1600000US3901000","36207700100000","Akron",1916598410,565229261,339.08
"127","LA","Louisiana","1600000US2270000","19200900300000","Shreveport",2178154165,413793869,526.39
"128","AL","Alabama","1600000US0150000","01204900400000","Mobile",621392380,386977361,160.58
"129","TX","Texas","1600000US4810768","44203100100000","Brownsville",330283167,183732116,179.76
"130","VA","Virginia","1600000US5156000","47212100100000","Newport News",1061036400,706664672,150.15
"131","FL","Florida","1600000US1224000","10200600400000","Fort Lauderdale",1338682563,695574905,192.46
"132","TN","Tennessee","1600000US4714000","43203300100000","Chattanooga",1411368868,1213735243,116.28
"133","AZ","Arizona","1600000US0473000","03200701200000","Tempe",1313489016,572598367,229.39
"134","IL","Illinois","1600000US1703012","14204500100000","Aurora",1097865523,291745999,376.31
"135","CA","California","1600000US0670098","05204900400000","Santa Rosa",805640000,398669000,202.08
"136","OR","Oregon","1600000US4123850","38202000400000","Eugene",409541314,362536439,112.97
"137","CA","California","1600000US0622020","05203430200000","Elk Grove",93918916,174536361,53.81
"138","OR","Oregon","1600000US4164900","38202401100000","Salem",541494809,376672598,143.76
"139","CA","California","1600000US0653896","05203600700000","Ontario",1001756842,469151898,213.53
"140","NC","North Carolina","1600000US3710740","34209200200000","Cary",716258273,364950626,196.26
"141","CA","California","1600000US0659451","05203660100000","Rancho Cucamonga",137954228,213567019,64.6
"142","CA","California","1600000US0653322","05203700900000","Oceanside",421569771,386722415,109.01
"143","CA","California","1600000US0640130","05201960100000","Lancaster",218058956,187477809,116.31
"144","CA","California","1600000US0629000","05203000800000","Garden Grove",460312740,265140233,173.61
"145","FL","Florida","1600000US1255775","10200650900000","Pembroke Pines",667841417,353420045,188.97
"146","CO","Colorado","1600000US0827425","06203500300000","Fort Collins",305711130,514796959,59.38
"147","CA","California","1600000US0655156","05201970400000","Palmdale",158184695,152541234,103.7
"148","MO","Missouri","1600000US2970000","26203900300000","Springfield",433075689,328531330,131.82
"149","TN","Tennessee","1600000US4715160","43206300100000","Clarksville",596788120,456618364,130.7
"150","CA","California","1600000US0664224","05202700800000","Salinas",459873458,183398959,250.75
"151","CA","California","1600000US0633000","05200100600000","Hayward",706791155,335985050,210.36
"152","VA","Virginia","1600000US5101000","47210100100000","Alexandria",1176176353,906563898,129.74
"153","GA","Georgia","1600000US1349008","11201100100000","Macon-Bibb County",439652656,257247765,170.91
"154","CA","California","1600000US0616350","05203300600000","Corona",529427631,333696880,158.66
"155","KS","Kansas","1600000US2036000","17210500300000","Kansas City",1913913571,693897909,275.82
"156","CO","Colorado","1600000US0843000","06203080100000","Lakewood",56555690,209614615,26.98
"157","MA","Massachusetts","1600000US2567000","22200700300000","Springfield",2600100914,942740003,275.8
"158","CA","California","1600000US0677000","05204301400000","Sunnyvale",686877527,519311736,132.27
"159","TX","Texas","1600000US4839148","44201400300000","Killeen",359323391,187868354,191.26
"160","FL","Florida","1600000US1232000","10200600700000","Hollywood",1605479101,424620705,378.1
"161","TN","Tennessee","1600000US4751560","43207500200000","Murfreesboro",648861427,510392503,127.13
"162","TX","Texas","1600000US4856000","44210101700000","Pasadena",302385781,233589627,129.45
"163","WA","Washington","1600000US5305210","48201700400000","Bellevue",458566000,568926000,80.6
"164","CA","California","1600000US0658072","05201903600000","Pomona",554632344,228126322,243.13
"165","CA","California","1600000US0622804","05203700500000","Escondido",529834241,261797845,202.38
"166","IL","Illinois","1600000US1738570","14209900700000","Joliet",1345518694,263238078,511.14
"167","SC","South Carolina","1600000US4513330","41201000100000","Charleston",610025602,335628188,181.76
"168","TX","Texas","1600000US4847892","44205702000000","Mesquite",554665943,267920593,207.03
"169","IL","Illinois","1600000US1751622","14202201200000","Naperville",310752894,413541718,75.14
"170","IL","Illinois","1600000US1765000","14210100600000","Rockford",557504222,286174788,194.81
"171","CT","Connecticut","1600000US0908000","07200100100000","Bridgeport",2741214262,755652953,362.76
"172","NY","New York","1600000US3673000","33203401500000","Syracuse",1774033514,802986886,220.93
"173","GA","Georgia","1600000US1369000","11202500300000","Savannah",447277119,400569058,111.66
"174","CA","California","1600000US0662938","05203100500000","Roseville",1029218483,688607260,149.46
"175","CA","California","1600000US0680000","05201904600000","Torrance",711850391,327990491,217.03
"176","CA","California","1600000US0628000","05203000700000","Fullerton",363491931,208000136,174.76
"177","AZ","Arizona","1600000US0471510","03200750200000","Surprise",266262429,297046106,89.64
"178","TX","Texas","1600000US4845384","44210800700000","Mcallen",396724182,285248430,139.08
"179","CO","Colorado","1600000US0877290","06200100600000","Thornton",346060015,351243369,98.52
"180","CA","California","1600000US0682954","05205400600000","Visalia",284113303,234171131,121.33
"181","KS","Kansas","1600000US2052575","17204601200000","Olathe",570691415,259339389,220.06
"182","FL","Florida","1600000US1225175","10200100300000","Gainesville",2383064794,574862656,414.55
"183","UT","Utah","1600000US4983470","45201860300000","West Valley City",229305953,149504251,153.38
"184","CA","California","1600000US0653980","05203001300000","Orange",364222774,192135537,189.57
"185","TX","Texas","1600000US4819972","44206100200000","Denton",1354089678,575846216,235.15
"186","MI","Michigan","1600000US2684000","23205001400000","Warren",559758460,224987500,248.8
"187","CA","California","1600000US0656000","05201903500000","Pasadena",1245311935,727765565,171.11
"188","IA","Iowa","1600000US1912000","16205700300000","Cedar Rapids",712780541,406166616,175.49
"189","OH","Ohio","1600000US3921000","36205700400000","Dayton",660620683,409680982,161.25
"190","NJ","New Jersey","1600000US3421000","31202000100000","Elizabeth",670972623,452415129,148.31
"191","VA","Virginia","1600000US5135000","47211500100000","Hampton",673993504,430799247,156.45
"192","SC","South Carolina","1600000US4516000","41204000100000","Columbia",1461095233,395232944,369.68
"193","CT","Connecticut","1600000US0973000","07200100600000","Stamford",1286417466,792275354,162.37
"194","CA","California","1600000US0682590","05203670100000","Victorville",491987855,228195275,215.6
"195","FL","Florida","1600000US1245975","10200600900000","Miramar",529832245,239036449,221.65
"196","FL","Florida","1600000US1214400","10200670200000","Coral Springs",205440575,219525912,93.58
"197","MI","Michigan","1600000US2676460","23205080100000","Sterling Heights",502855953,183973287,273.33
"198","CT","Connecticut","1600000US0952000","07200500600000","New Haven",2634954940,814136815,323.65
"199","TX","Texas","1600000US4813024","44205700400000","Carrollton",295214740,235277238,125.48
"200","TX","Texas","1600000US4848072","44216500100000","Midland",809531187,340898309,237.47
"201","OK","Oklahoma","1600000US4052500","37201400400000","Norman",323602298,198075497,163.37
"202","CA","California","1600000US0669084","05204301300000","Santa Clara",1688604631,1085822509,155.51
"203","CA","California","1600000US0678582","05205670200000","Thousand Oaks",178827434,198935384,89.89
"204","KS","Kansas","1600000US2071000","17208900300000","Topeka",670267235,263275232,254.59
"205","CA","California","1600000US0672016","05205680100000","Simi Valley",307555023,171057516,179.8
"206","MO","Missouri","1600000US2915670","26201000300000","Columbia",516399319,336972147,153.25
"207","CA","California","1600000US0681666","05204800700000","Vallejo",460558381,219978704,209.36
"208","ND","North Dakota","1600000US3825700","35200900900000","Fargo",1176170781,359078921,327.55
"209","PA","Pennsylvania","1600000US4202000","39203900200000","Allentown",254480961,145090355,175.39
"210","TX","Texas","1600000US4856348","44202050300000","Pearland",876752939,264013958,332.09
"211","CA","California","1600000US0616000","05200700300000","Concord",356548237,178624809,199.61
"212","TX","Texas","1600000US4801000","44222100100000","Abilene",490152762,218474094,224.35
"213","CO","Colorado","1600000US0803455","06203000100000","Arvada",126411000,218709000,57.8
"214","CA","California","1600000US0606000","05200100300000","Berkeley",1140548157,459569536,248.18
"215","MI","Michigan","1600000US2603000","23208100100000","Ann Arbor",542010894,248192752,218.38
"216","MO","Missouri","1600000US2935000","26204800500000","Independence",864516905,319077311,270.94
"217","MN","Minnesota","1600000US2754880","24205500400000","Rochester",576554457,441055118,130.72
"218","LA","Louisiana","1600000US2240735","19202800400000","Lafayette",1052345560,572376693,183.86
"219","CT","Connecticut","1600000US0937000","07200200200000","Hartford",1784629000,984174000,181.33
"220","TX","Texas","1600000US4815976","44202100200000","College Station",473957614,297902253,159.1
"221","CA","California","1600000US0614218","05201000100000","Clovis",350617609,208384901,168.25
"222","CA","California","1600000US0623182","05204800300000","Fairfield",388031749,221673827,175.05
"223","FL","Florida","1600000US1254000","10200550200000","Palm Bay",267337852,150981911,177.07
"224","TX","Texas","1600000US4861796","44205702100000","Richardson",571770340,312735305,182.83
"225","TX","Texas","1600000US4863500","44224600600000","Round Rock",497660471,274134938,181.54
"226","MA","Massachusetts","1600000US2511000","22200900100000","Cambridge",1506291069,802708899,187.65
"227","ID","Idaho","1600000US1652120","13200100400000","Meridian",37685995,135057710,27.9
"228","FL","Florida","1600000US1276600","10205002300000","West Palm Beach",842876185,405006029,208.11
"229","FL","Florida","1600000US1212875","10205200500000","Clearwater",267963174,377321307,71.02
"230","MT","Montana","1600000US3006550","27205600100000","Billings",307497043,241497565,127.33
"231","UT","Utah","1600000US4982950","45201800900000","West Jordan",89210484,156275076,57.09
"232","CA","California","1600000US0660620","05200700900000","Richmond",1017666539,287440959,354.04
"233","CO","Colorado","1600000US0883835","06200100700000","Westminster",314076452,298298399,105.29
"234","NH","New Hampshire","1600000US3345140","30200600100000","Manchester",834019193,281204961,296.59
"235","MA","Massachusetts","1600000US2537000","22200900300000","Lowell",1473452968,507772860,290.18
"236","NC","North Carolina","1600000US3774440","34206500300000","Wilmington",393344665,206008621,190.94
"237","CA","California","1600000US0602252","05200700100000","Antioch",172775605,152339207,113.42
"238","TX","Texas","1600000US4807000","44212300100000","Beaumont",702109726,264549254,265.4
"239","UT","Utah","1600000US4962470","45202501100000","Provo",249178752,246596440,101.05
"240","SC","South Carolina","1600000US4550875","41201090100000","North Charleston",411782560,172532170,238.67
"241","IL","Illinois","1600000US1723074","14204500700000","Elgin",320985647,205032618,156.55
"242","CA","California","1600000US0611194","05203700100000","Carlsbad",226850362,303339439,74.78
"243","TX","Texas","1600000US4853388","44206800100000","Odessa",341192277,243697997,140.01
"244","CT","Connecticut","1600000US0980000","07200500800000","Waterbury",2097372000,641831000,326.78
"245","IL","Illinois","1600000US1772000","14208402200000","Springfield",1500620658,431767599,347.55
"246","TX","Texas","1600000US4841980","44208480200000","League City",330546884,165067078,200.25
"247","CA","California","1600000US0619766","05201905000000","Downey",331723288,153053197,216.74
"248","OR","Oregon","1600000US4131250","38202600200000","Gresham",232165241,181112876,128.19
"249","NC","North Carolina","1600000US3731400","34204100400000","High Point",395509835,368650089,107.29
"250","OK","Oklahoma","1600000US4009050","37207200200000","Broken Arrow",382771579,176286971,217.13
"251","IL","Illinois","1600000US1759000","14207201100000","Peoria",763243293,190684879,400.26
"252","MI","Michigan","1600000US2646000","23203300300000","Lansing",1103754802,219147143,503.66
"253","FL","Florida","1600000US1238250","10205301300000","Lakeland",1259980238,562564282,223.97
"254","FL","Florida","1600000US1258050","10200601100000","Pompano Beach",403752349,279899331,144.25
"255","CA","California","1600000US0616532","05203000400000","Costa Mesa",430853639,156496772,275.31
"256","CO","Colorado","1600000US0862000","06205100100000","Pueblo",123820539,180984310,68.42
"257","TX","Texas","1600000US4842508","44206100500000","Lewisville",280760622,194340018,144.47
"258","FL","Florida","1600000US1245060","10201310100000","Miami Gardens",237581575,131712992,180.38
"259","NM","New Mexico","1600000US3539380","32200700200000","Las Cruces",526662840,236885762,222.33
"260","TX","Texas","1600000US4870808","44207900600000","Sugar Land",549735159,213780059,257.15
"261","CA","California","1600000US0650076","05203320100000","Murrieta",109946398,112375294,97.84
"262","CA","California","1600000US0665042","05205600500000","San Buenaventura",430616795,224886750,191.48
"263","CA","California","1600000US0678120","05203340200000","Temecula",87790629,130524228,67.26
"264","MI","Michigan","1600000US2621000","23208200300000","Dearborn",655309774,228042245,287.36
"265","CA","California","1600000US0669196","05204200400000","Santa Maria",295036294,214752009,137.38
"266","CA","California","1600000US0684200","05201904800000","West Covina",331564513,101667719,326.13
"267","CA","California","1600000US0622230","05201901400000","El Monte",485170427,118605024,409.06
"268","CO","Colorado","1600000US0832155","06206201100000","Greeley",193178123,241537861,79.98
"269","NV","Nevada","1600000US3268400","29201600200000","Sparks",325234838,164622653,197.56
"270","CO","Colorado","1600000US0812815","06200330100000","Centennial",18193347,100565826,18.09
"271","CO","Colorado","1600000US0807850","06200700100000","Boulder",391334000,378350000,103.43
"272","GA","Georgia","1600000US1368516","11206010100000","Sandy Springs",191647762,139417316,137.46
"273","CA","California","1600000US0636546","05201902200000","Inglewood",680540304,155990641,436.27
"274","GA","Georgia","1600000US1372122","11206010500000","South Fulton",41876480,98378886,42.57
"275","CA","California","1600000US0608954","05201900800000","Burbank",653136000,532059000,122.76
"276","WA","Washington","1600000US5357745","48201702000000","Renton",160483094,217582018,73.76
"277","OR","Oregon","1600000US4134100","38203400600000","Hillsboro",326423992,282983457,115.35
"278","CA","California","1600000US0621712","05203700400000","El Cajon",235446979,117055417,201.14
"279","TX","Texas","1600000US4874144","44221200500000","Tyler",205688490,183440036,112.13
"280","FL","Florida","1600000US1216475","10200670100000","Davie",256382386,183092947,140.03
"281","CA","California","1600000US0668252","05204101200000","San Mateo",747904068,252976261,295.64
"282","MA","Massachusetts","1600000US2509000","22201200100000","Brockton",1357046389,545195317,248.91
"283","NC","North Carolina","1600000US3714100","34201300100000","Concord",166370838,289751813,57.42
"284","CA","California","1600000US0637692","05203310400000","Jurupa Valley",22872944,63259051,36.16
"285","CA","California","1600000US0617918","05204100500000","Daly City",275942776,168170983,164.08
"286","TX","Texas","1600000US4801924","44204300100000","Allen",179221476,206582502,86.76
"287","NM","New Mexico","1600000US3563460","32202360100000","Rio Rancho",342386170,164270407,208.43
"288","CA","California","1600000US0660466","05203600900000","Rialto",381545112,179057441,213.09
"289","IN","Indiana","1600000US1871000","15207100800000","South Bend",453683466,256899668,176.6
"290","WA","Washington","1600000US5367167","48203201300000","Spokane Valley",23116244,74984516,30.83
"291","CA","California","1600000US0652526","05201950600000","Norwalk",151620272,107676201,140.81
"292","CA","California","1600000US0646842","05203310100000","Menifee",51518570,121786496,42.3
"293","CA","California","1600000US0681554","05204800600000","Vacaville",498344214,247800308,201.11
"294","TX","Texas","1600000US4879000","44224300400000","Wichita Falls",341037930,179693230,189.79
"295","IA","Iowa","1600000US1919000","16208200400000","Davenport",385328361,200645470,192.04
"296","MA","Massachusetts","1600000US2555745","22201100100000","Quincy",1792466931,486279665,368.61
"297","CA","California","1600000US0613014","05200400200000","Chico",190448732,148592456,128.17
"298","MA","Massachusetts","1600000US2537490","22200500500000","Lynn",896295518,468791655,191.19
"299","MO","Missouri","1600000US2941348","26204800700000","Lee's Summit",112086599,191736269,58.46
"300","MA","Massachusetts","1600000US2545000","22200300300000","New Bedford",1295744462,541519862,239.28
"301","WA","Washington","1600000US5323515","48201720200000","Federal Way",48484005,84200197,57.58
"302","TX","Texas","1600000US4822660","44210800400000","Edinburg",264514571,123895738,213.5
"303","ID","Idaho","1600000US1656260","13201400400000","Nampa",80205138,195345342,41.06
"304","VA","Virginia","1600000US5168000","47212800100000","Roanoke",477118690,368200750,129.58
"305","TX","Texas","1600000US4864472","44222600100000","San Angelo",522951633,156141310,334.92
"306","CA","California","1600000US0633434","05203640200000","Hesperia",113018613,83903046,134.7
"307","IN","Indiana","1600000US1810342","15202900300000","Carmel",987098064,229204588,430.66
"308","AL","Alabama","1600000US0177256","01206300200000","Tuscaloosa",454586288,238130246,190.9
"309","NY","New York","1600000US3601000","33200100100000","Albany",869613776,180120778,482.79
"310","OR","Oregon","1600000US4105800","38200900100000","Bend",452855307,226941092,199.55
"311","IN","Indiana","1600000US1823278","15202900500000","Fishers",393637625,140907039,279.36
"312","CO","Colorado","1600000US0845970","06200700400000","Longmont",264915152,348114208,76.1
"313","CA","California","1600000US0682996","05203770300000","Vista",229343336,152809751,150.08
"314","UT","Utah","1600000US4957300","45202500800000","Orem",88097155,129146805,68.21
"315","VA","Virginia","1600000US5164000","47212500100000","Portsmouth",802460391,342834011,234.07
"316","OR","Oregon","1600000US4105350","38203400200000","Beaverton",315909364,157421238,200.68
"317","FL","Florida","1600000US1207300","10205000200000","Boca Raton",309484497,331364406,93.4
"318","FL","Florida","1600000US1269700","10200670600000","Sunrise",618988049,305061435,202.91
"319","WA","Washington","1600000US5380010","48203901300000","Yakima",180347112,165863897,108.73
"320","UT","Utah","1600000US4967440","45201800600000","Sandy",131923304,126800794,104.04
"321","CA","California","1600000US0611530","05201980100000","Carson",309802507,112528256,275.31
"322","AZ","Arizona","1600000US0485540","03201400300000","Yuma",407303071,187173892,217.61
"323","MI","Michigan","1600000US2649000","23208201900000","Livonia",163022886,151418826,107.66
"324","UT","Utah","1600000US4965330","45202700800000","St. George",160880624,251354298,64.01
"325","AZ","Arizona","1600000US0428380","03200700700000","Goodyear",616249838,296160355,208.08
"326","PA","Pennsylvania","1600000US4263624","39200601600000","Reading",536359886,164627018,325.8
"327","KS","Kansas","1600000US2038900","17202300300000","Lawrence",458826611,200274471,229.1
"328","CA","California","1600000US0668196","05203770200000","San Marcos",105149859,130197878,80.76
"329","NC","North Carolina","1600000US3702140","34201100100000","Asheville",288797762,216858208,133.17
"330","OK","Oklahoma","1600000US4023200","37205500400000","Edmond",410831126,290892703,141.23
"331","VA","Virginia","1600000US5176432","47213100100000","Suffolk",791737463,347393862,227.91
"332","MA","Massachusetts","1600000US2523000","22200300200000","Fall River",1398137801,479354793,291.67
"333","AR","Arkansas","1600000US0523290","04207200300000","Fayetteville",255689608,182859760,139.83
"334","FL","Florida","1600000US1217200","10206420200000","Deltona",196431553,95819188,205
"335","CA","California","1600000US0648256","05203040100000","Mission Viejo",63720130,79220985,80.43
"336","CA","California","1600000US0659920","05204500100000","Redding",652970789,380462730,171.63
"337","CA","California","1600000US0670000","05201904100000","Santa Monica",945898785,625408589,151.24
"338","CA","California","1600000US0680238","05203900500000","Tracy",183768977,230432951,79.75
"339","GA","Georgia","1600000US1367284","11206000900000","Roswell",76000817,127850702,59.44
"340","CA","California","1600000US0673080","05201904400000","South Gate",191833663,103817796,184.78
"341","AL","Alabama","1600000US0135896","01203780100000","Hoover",232420208,153907258,151.01
"342","WA","Washington","1600000US5335940","48201701400000","Kirkland",91332266,226750504,40.28
"343","AZ","Arizona","1600000US0407940","03200700200000","Buckeye",334522392,204276817,163.76
"344","WA","Washington","1600000US5305280","48203700100000","Bellingham",219000999,242179671,90.43
"345","CA","California","1600000US0613210","05203600200000","Chino",100902037,219669663,45.93
"346","NH","New Hampshire","1600000US3350260","30200600200000","Nashua",715242051,359182479,199.13
"347","MO","Missouri","1600000US2954074","26209200200000","O'fallon",162820830,100020725,162.79
"348","CT","Connecticut","1600000US0955990","07200100400000","Norwalk",581722440,489856776,118.75
"349","CA","California","1600000US0668084","05200101200000","San Leandro",310642226,164181649,189.21
"350","CA","California","1600000US0684550","05203050400000","Westminster",202093257,99378146,203.36
"351","NJ","New Jersey","1600000US3474000","31201100500000","Trenton",1230719169,312064656,394.38
"352","SC","South Carolina","1600000US4548535","41201000500000","Mount Pleasant",182635585,114116877,160.04
"353","TX","Texas","1600000US4850820","44204600100000","New Braunfels",361228500,128109247,281.97
"354","OK","Oklahoma","1600000US4041850","37201600800000","Lawton",220378461,129654076,169.97
"355","NJ","New Jersey","1600000US3413690","31201600200000","Clifton",203368824,348679100,58.33
"356","MN","Minnesota","1600000US2706616","24202700100000","Bloomington",177838663,161726913,109.96
"357","TX","Texas","1600000US4816432","44217000100000","Conroe",556691284,182212037,305.52
"358","CA","California","1600000US0633182","05203300800000","Hemet",175052997,94445045,185.35
"359","AZ","Arizona","1600000US0404720","03200700100000","Avondale",175371372,176185359,99.54
"360","IL","Illinois","1600000US1779293","14204902200000","Waukegan",466112980,126358358,368.88
"361","FL","Florida","1600000US1254200","10201830100000","Palm Coast",192181409,135699292,141.62
"362","MA","Massachusetts","1600000US2534550","22200500400000","Lawrence",986395137,436179175,226.14
"363","AR","Arkansas","1600000US0524550","04206600300000","Fort Smith",389915810,177025920,220.26
"364","CA","California","1600000US0636448","05203300900000","Indio",245348521,121386794,202.12
"365","MA","Massachusetts","1600000US2545560","22200900800000","Newton",1607226596,596722061,269.34
"366","CA","California","1600000US0669070","05204200300000","Santa Barbara",654980992,394293252,166.12
"367","IL","Illinois","1600000US1712385","14201000200000","Champaign",206412287,112337898,183.74
"368","CA","California","1600000US0632548","05201901900000","Hawthorne",391264068,119815931,326.55
"369","CA","California","1600000US0641992","05200100700000","Livermore",277145756,212109647,130.66
"370","CA","California","1600000US0613588","05203430100000","Citrus Heights",29155850,48059304,60.67
"371","NC","North Carolina","1600000US3728080","34207400600000","Greenville",415437599,370763000,112.05
"372","NM","New Mexico","1600000US3570500","32202600100000","Santa Fe",512007405,253092364,202.3
"373","UT","Utah","1600000US4955980","45202900300000","Ogden City",162306819,154482074,105.07
"374","CA","California","1600000US0685292","05201904900000","Whittier",201141514,115005026,174.9
"375","MI","Michigan","1600000US2680700","23206302900000","Troy",82563095,123239287,66.99
"376","WA","Washington","1600000US5303180","48201700200000","Auburn",130964066,175808412,74.49
"377","FL","Florida","1600000US1216725","10200600200000","Deerfield Beach",219069581,162189413,135.07
"378","CT","Connecticut","1600000US0918430","07200100200000","Danbury",689609665,353457818,195.1
"379","MN","Minnesota","1600000US2707966","24202700300000","Brooklyn Park",93341094,137188993,68.04
